;PENADOS;;PENADOS C/PREVENTIVA;;MEDIDA DE SEGURIDAD;;PREVENTIVOS;;TOTAL GENERAL
Navarra, Comunidad Foral de;212;21;7;1;0;0;69;7;317
Araba/Alava;561;83;9;1;4;0;62;6;726
Guipuzcoa. San Sebastián (Martutene);258;25;8;0;0;0;49;4;344
Vizcaya. Basauri;256;13;7;0;0;0;58;0;334
Pais Vasco;1075;121;24;1;4;0;169;10;1404
Logroño;296;15;8;0;0;0;47;3;369
Rioja, La;296;15;8;0;0;0;47;3;369
Ceuta;111;14;3;0;0;0;133;7;268
 Ceuta;111;14;3;0;0;0;133;7;268
Melilla;220;15;0;0;0;0;86;2;323
 Melilla;220;15;0;0;0;0;86;2;323
Administración General del Estado;44.251;3.635;856;39;569;36;8.317;853;58.556
Comunidad Autónoma de Cataluña;7.729;494;0;0;38;12;1.611;157;10.041
Total Nacional;51.980;4.129;856;39;607;48;9.928;1.010;68.597
